type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,pnl_points,mae_points,atr_at_exit,holding_hours,exit_reason,trade_id
Long,False,1.0,2023-01-10 07:00:00,2023-01-11 03:00:00,1871.44,1875.58,3.42,-3.73,10.17,24,Signal Exit,1
Long,True,2.5,2023-01-10 11:00:00,2023-01-11 03:00:00,1872.81,1875.58,5.12,-6.05,10.17,24,Signal Exit,2
Long,False,1.0,2023-01-11 07:00:00,2023-01-11 11:00:00,1876.7,1874.91,-2.01,-4.78,7.75,0,Signal Exit,3
Long,False,1.0,2023-01-11 15:00:00,2023-01-11 23:00:00,1880.69,1871.72,-9.19,-10.14,8.42,0,Signal Exit,4
Long,True,2.5,2023-01-11 19:00:00,2023-01-11 23:00:00,1884.78,1871.72,-33.2,-35.58,8.42,0,Signal Exit,5
Long,False,1.0,2023-01-12 03:00:00,2023-01-12 07:00:00,1877.77,1875.06,-2.93,-2.17,7.92,0,Signal Exit,6
Long,False,1.0,2023-01-12 11:00:00,2023-01-12 15:00:00,1883.69,1883.0,-0.91,-1.72,7.69,0,Signal Exit,7
Long,False,1.0,2023-01-12 19:00:00,2023-01-12 23:00:00,1884.32,1882.54,-2.0,-12.17,9.28,0,Signal Exit,8
Long,False,1.0,2023-01-13 03:00:00,2023-01-13 07:00:00,1898.87,1895.67,-3.42,-4.57,9.82,0,Signal Exit,9
Long,False,1.0,2023-01-13 11:00:00,2023-01-13 15:00:00,1898.18,1896.11,-2.29,-5.93,9.73,0,Signal Exit,10
Long,False,1.0,2023-01-13 19:00:00,2023-01-16 15:00:00,1906.01,1915.76,8.03,-12.38,11.69,72,Signal Exit,11
Long,True,2.5,2023-01-13 23:00:00,2023-01-16 15:00:00,1911.27,1915.76,6.93,-11.32,11.69,72,Signal Exit,12
Long,False,1.0,2023-01-17 07:00:00,2023-01-17 11:00:00,1914.85,1910.63,-4.44,-5.48,9.06,0,Signal Exit,13
Long,False,1.0,2023-01-17 23:00:00,2023-01-18 03:00:00,1913.58,1905.58,-8.72,-9.01,9.33,24,Signal Exit,14
Long,False,1.0,2023-01-18 07:00:00,2023-01-18 11:00:00,1908.48,1904.05,-4.65,-8.1,8.13,0,Signal Exit,15
Long,False,1.0,2023-01-18 19:00:00,2023-01-19 03:00:00,1914.33,1904.96,-10.09,-12.79,9.32,24,Signal Exit,16
Long,True,2.5,2023-01-20 07:00:00,2023-01-20 11:00:00,1932.05,1929.57,-6.75,-6.8,9.74,0,Signal Exit,17
Long,False,1.0,2023-01-19 11:00:00,2023-01-20 11:00:00,1907.02,1929.57,21.83,-0.67,9.74,24,Signal Exit,18
Long,False,1.0,2023-01-20 19:00:00,2023-01-20 23:00:00,1930.03,1924.93,-5.32,-9.36,9.96,0,Signal Exit,19
Long,False,1.0,2023-01-21 03:00:00,2023-01-23 07:00:00,1929.39,1925.89,-4.72,-3.24,9.11,48,Signal Exit,20
Long,False,1.0,2023-01-23 11:00:00,2023-01-23 15:00:00,1931.95,1922.49,-9.68,-10.95,9.13,0,Signal Exit,21
Long,False,1.0,2023-01-23 19:00:00,2023-01-23 23:00:00,1926.34,1916.7,-9.86,-13.06,9.98,0,Signal Exit,22
Long,False,1.0,2023-01-24 03:00:00,2023-01-24 19:00:00,1927.83,1938.46,10.41,-3.05,9.93,0,Signal Exit,23
Long,True,2.5,2023-01-24 07:00:00,2023-01-24 19:00:00,1931.05,1938.46,17.98,-0.92,9.93,0,Signal Exit,24
Long,False,1.0,2023-01-25 03:00:00,2023-01-25 11:00:00,1934.94,1935.12,-0.04,-0.83,10.58,0,Signal Exit,25
Long,True,2.5,2023-01-25 07:00:00,2023-01-25 11:00:00,1937.14,1935.12,-5.6,-5.55,10.58,0,Signal Exit,26
Long,False,1.0,2023-01-25 23:00:00,2023-01-26 11:00:00,1930.75,1945.06,13.59,-1.99,9.85,24,Signal Exit,27
Long,True,2.5,2023-01-26 03:00:00,2023-01-26 11:00:00,1940.0,1945.06,12.1,-0.9,9.85,0,Signal Exit,28
Long,False,1.0,2023-01-26 15:00:00,2023-01-26 19:00:00,1945.67,1936.73,-9.16,-11.86,10.04,0,Signal Exit,29
Long,False,1.0,2023-02-02 07:00:00,2023-02-02 15:00:00,1951.07,1952.11,0.82,-0.29,10.77,0,Signal Exit,30
Long,True,2.5,2023-02-02 11:00:00,2023-02-02 15:00:00,1952.17,1952.11,-0.7,-2.4,10.77,0,Signal Exit,31
Long,False,1.0,2023-02-02 19:00:00,2023-02-02 23:00:00,1952.65,1921.31,-32.18,-31.53,12.42,0,Stop Loss Exit,32
Long,False,1.0,2023-02-09 19:00:00,2023-02-09 23:00:00,1885.67,1879.35,-6.54,-6.8,9.28,0,Signal Exit,33
Short,False,1.0,2023-02-14 07:00:00,2023-02-20 15:00:00,1853.43,1843.93,8.38,-17.07,9.33,144,Signal Exit,34
Short,False,1.0,2023-02-20 19:00:00,2023-02-20 23:00:00,1843.54,1846.4,-3.08,-3.47,8.94,0,Signal Exit,35
Short,False,1.0,2023-02-21 03:00:00,2023-02-21 11:00:00,1841.1,1841.32,-0.44,-2.62,6.79,0,Signal Exit,36
Short,False,1.0,2023-02-21 15:00:00,2023-03-01 03:00:00,1838.6,1828.07,8.73,-7.41,7.55,192,Stop Loss Exit,37
Short,False,1.0,2023-03-01 07:00:00,2023-03-01 11:00:00,1826.63,1827.65,-1.24,-2.78,6.83,0,Signal Exit,38
Short,False,1.0,2023-03-02 03:00:00,2023-03-02 23:00:00,1838.46,1836.62,1.62,-0.5,7.92,0,Signal Exit,39
Short,False,1.0,2023-03-03 03:00:00,2023-03-03 11:00:00,1835.91,1838.62,-2.93,-5.56,6.52,0,Signal Exit,40
Short,False,1.0,2023-03-03 23:00:00,2023-03-04 03:00:00,1842.88,1850.08,-7.57,-7.22,6.76,24,Signal Exit,41
Short,False,1.0,2023-03-06 11:00:00,2023-03-06 23:00:00,1853.73,1851.76,1.75,-4.55,6.45,0,Signal Exit,42
Short,False,1.0,2023-03-07 03:00:00,2023-03-07 11:00:00,1847.02,1849.11,-2.31,-3.37,6.17,0,Signal Exit,43
Short,False,1.0,2023-03-07 15:00:00,2023-03-09 23:00:00,1846.73,1831.31,14.5,-4.89,7.93,48,Stop Loss Exit,44
Short,True,2.0999999999999996,2023-03-08 07:00:00,2023-03-09 23:00:00,1813.49,1831.31,-39.03,-38.56,7.93,24,Stop Loss Exit,45
Short,False,1.0,2023-03-10 07:00:00,2023-03-10 19:00:00,1831.12,1832.75,-1.85,-6.15,6.91,0,Signal Exit,46
Long,False,1.0,2023-03-14 06:00:00,2023-03-14 10:00:00,1913.45,1906.03,-7.64,-8.16,14.42,0,Signal Exit,47
Long,False,1.0,2023-03-14 22:00:00,2023-03-15 06:00:00,1902.33,1903.48,0.43,-2.21,14.44,24,Signal Exit,48
Long,False,1.0,2023-03-15 22:00:00,2023-03-16 02:00:00,1926.12,1924.36,-2.48,-8.64,14.06,24,Signal Exit,49
Long,False,1.0,2023-03-16 14:00:00,2023-03-17 02:00:00,1919.93,1916.27,-4.38,-7.52,14.67,24,Signal Exit,50
Long,False,1.0,2023-03-17 06:00:00,2023-03-20 10:00:00,1920.49,1969.57,47.36,-2.29,14.58,72,Signal Exit,51
Long,False,1.0,2023-03-20 14:00:00,2023-03-20 18:00:00,1988.09,1984.76,-3.55,-6.27,15.54,0,Signal Exit,52
Long,False,1.0,2023-03-21 06:00:00,2023-03-21 18:00:00,1978.77,1968.97,-10.02,-15.94,16.19,0,Signal Exit,53
Long,False,1.0,2023-03-23 06:00:00,2023-03-23 10:00:00,1970.21,1968.95,-1.48,-5.69,12.03,0,Signal Exit,54
Long,False,1.0,2023-03-23 14:00:00,2023-03-24 06:00:00,1977.09,1993.13,15.32,-10.47,13.29,24,Signal Exit,55
Long,False,1.0,2023-03-24 18:00:00,2023-03-24 22:00:00,1994.4,1989.55,-5.07,-5.78,13.23,0,Signal Exit,56
Long,False,1.0,2023-03-29 02:00:00,2023-03-29 06:00:00,1974.58,1973.26,-1.54,-3.51,10.99,0,Signal Exit,57
Long,False,1.0,2023-03-31 02:00:00,2023-03-31 14:00:00,1979.84,1979.05,-1.01,-2.24,8.7,0,Signal Exit,58
Long,False,1.0,2023-03-31 22:00:00,2023-04-01 02:00:00,1979.62,1967.41,-12.93,-12.77,9.75,24,Signal Exit,59
Long,False,1.0,2023-04-03 06:00:00,2023-04-03 10:00:00,1970.36,1960.18,-10.4,-13.67,9.72,0,Signal Exit,60
Long,False,1.0,2023-04-03 22:00:00,2023-04-04 06:00:00,1978.27,1984.2,5.21,-0.09,10.92,24,Signal Exit,61
Long,False,1.0,2023-04-04 14:00:00,2023-04-05 10:00:00,1978.79,2020.34,40.83,-1.93,10.96,24,Signal Exit,62
Long,True,1.4999999999999998,2023-04-04 18:00:00,2023-04-05 10:00:00,1982.91,2020.34,55.06,-6.66,10.96,24,Signal Exit,63
Long,True,2.5,2023-04-05 18:00:00,2023-04-05 22:00:00,2024.5,2022.71,-5.02,-8.8,10.48,0,Signal Exit,64
Long,False,1.0,2023-04-05 14:00:00,2023-04-05 22:00:00,2024.25,2022.71,-1.76,-3.27,10.48,0,Signal Exit,65
Long,False,1.0,2023-04-06 14:00:00,2023-04-06 22:00:00,2015.58,2003.59,-12.21,-14.79,11.19,0,Signal Exit,66
Long,False,1.0,2023-04-07 02:00:00,2023-04-10 06:00:00,2009.87,1992.35,-19.24,-4.15,11.0,72,Signal Exit,67
Long,False,1.0,2023-04-10 18:00:00,2023-04-10 22:00:00,2000.6,1988.3,-12.52,-14.43,11.25,0,Signal Exit,68
Long,False,1.0,2023-04-11 18:00:00,2023-04-11 22:00:00,2004.5,2001.41,-3.31,-8.96,10.71,0,Signal Exit,69
Long,False,1.0,2023-04-12 02:00:00,2023-04-12 06:00:00,2005.57,2003.45,-2.34,-2.76,9.43,0,Signal Exit,70
Long,True,2.5,2023-04-12 14:00:00,2023-04-12 18:00:00,2018.22,2010.76,-19.2,-24.2,9.11,0,Signal Exit,71
