type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,mae_points,atr_at_exit,holding_hours,exit_reason,trade_id
Long,False,1.0,2025-01-09 00:00:00,2665.73,2025-01-09 04:00:00,2658.41,2633.02,-7.54,-16.26,12.55,0,Signal Exit,1
Long,False,1.0,2025-01-09 08:00:00,2662.61,2025-01-09 12:00:00,2659.44,2638.97,-3.39,-6.25,10.34,0,Signal Exit,2
Long,False,1.0,2025-01-09 16:00:00,2662.27,2025-01-10 00:00:00,2668.35,2644.13,5.36,-1.91,11.29,24,Signal Exit,3
Long,False,1.0,2025-01-10 04:00:00,2670.14,2025-01-10 08:00:00,2670.19,2651.18,-0.17,-1.64,10.0,0,Signal Exit,4
Long,False,1.0,2025-01-10 12:00:00,2673.72,2025-01-11 04:00:00,2685.81,2652.09,11.37,-9.84,12.2,24,Signal Exit,5
Long,False,1.0,2025-01-13 04:00:00,2688.79,2025-01-13 12:00:00,2687.88,2673.06,-1.13,-9.54,10.85,0,Signal Exit,6
Long,False,1.0,2025-01-14 08:00:00,2667.92,2025-01-14 16:00:00,2669.51,2647.05,1.37,-1.62,11.84,0,Signal Exit,7
Long,False,1.0,2025-01-15 00:00:00,2671.69,2025-01-16 00:00:00,2678.65,2664.17,6.24,-5.09,10.82,24,Signal Exit,8
Long,True,1.4999999999999998,2025-01-15 08:00:00,2675.53,2025-01-16 00:00:00,2678.65,2664.17,3.6,-9.4,10.82,24,Signal Exit,9
Long,False,1.0,2025-01-16 04:00:00,2694.13,2025-01-17 04:00:00,2715.22,2685.62,20.37,-4.33,11.47,24,Signal Exit,10
Long,True,1.4999999999999998,2025-01-16 08:00:00,2694.98,2025-01-17 04:00:00,2715.22,2685.62,29.28,-7.77,11.47,24,Signal Exit,11
Long,False,1.0,2025-01-17 12:00:00,2715.36,2025-01-17 16:00:00,2710.44,2699.12,-5.14,-6.93,10.73,0,Signal Exit,12
Long,False,1.0,2025-01-18 00:00:00,2714.22,2025-01-18 04:00:00,2703.11,2691.44,-11.33,-11.54,11.64,0,Signal Exit,13
Long,False,1.0,2025-01-20 12:00:00,2703.38,2025-01-21 00:00:00,2707.06,2678.42,2.96,-1.79,10.8,24,Signal Exit,14
Long,True,1.4000000000000001,2025-01-20 16:00:00,2703.53,2025-01-21 00:00:00,2707.06,2678.28,3.93,-2.72,10.8,24,Signal Exit,15
Long,False,1.0,2025-01-21 08:00:00,2710.33,2025-01-21 20:00:00,2724.07,2691.76,13.52,-7.38,11.59,0,Signal Exit,16
Long,True,1.4000000000000001,2025-01-21 12:00:00,2724.23,2025-01-21 20:00:00,2724.07,2691.76,-0.53,-11.16,11.59,0,Signal Exit,17
Long,False,1.0,2025-01-22 00:00:00,2738.88,2025-01-22 16:00:00,2748.74,2728.33,9.64,-1.11,11.56,0,Signal Exit,18
Long,True,1.3,2025-01-22 04:00:00,2742.64,2025-01-22 16:00:00,2748.74,2728.33,7.64,-3.67,11.56,0,Signal Exit,19
Long,False,1.0,2025-01-22 20:00:00,2756.39,2025-01-23 04:00:00,2755.35,2733.62,-1.76,-5.96,11.36,24,Signal Exit,20
Long,True,2.5,2025-01-23 00:00:00,2759.25,2025-01-23 04:00:00,2755.35,2735.17,-10.3,-10.92,11.36,0,Signal Exit,21
Long,False,1.0,2025-01-23 16:00:00,2752.73,2025-01-23 20:00:00,2751.92,2738.65,-1.03,-11.8,10.09,0,Signal Exit,22
Long,False,1.0,2025-01-24 04:00:00,2754.07,2025-01-25 00:00:00,2775.9,2740.68,21.11,-2.64,10.91,24,Signal Exit,23
Long,True,2.5,2025-01-24 08:00:00,2754.52,2025-01-25 00:00:00,2775.9,2740.68,51.65,-0.75,10.91,24,Signal Exit,24
Long,False,1.0,2025-01-27 20:00:00,2771.34,2025-01-28 00:00:00,2741.98,2734.53,-30.08,-32.03,14.11,24,Signal Exit,25
Long,False,1.0,2025-01-29 04:00:00,2764.8,2025-01-29 08:00:00,2762.7,2728.56,-2.32,-2.51,12.36,0,Signal Exit,26
Long,False,1.0,2025-01-29 20:00:00,2759.01,2025-01-30 00:00:00,2754.17,2745.34,-5.56,-10.81,11.51,24,Signal Exit,27
Long,False,1.0,2025-01-30 08:00:00,2760.28,2025-01-31 04:00:00,2793.47,2758.32,32.47,-1.51,9.88,24,Signal Exit,28
Long,False,1.0,2025-01-31 08:00:00,2796.3,2025-02-01 04:00:00,2796.19,2780.19,-0.83,-5.46,11.48,24,Signal Exit,29
Long,True,2.5,2025-01-31 12:00:00,2796.33,2025-02-01 04:00:00,2796.19,2780.19,-2.15,-13.72,11.48,24,Signal Exit,30
Long,False,1.0,2025-02-03 04:00:00,2802.07,2025-02-03 08:00:00,2793.17,2783.12,-9.12,-18.07,12.35,0,Signal Exit,31
Long,False,1.0,2025-02-03 16:00:00,2789.27,2025-02-04 08:00:00,2813.93,2770.79,23.94,-2.29,15.48,24,Signal Exit,32
Long,True,1.0,2025-02-03 20:00:00,2801.35,2025-02-04 08:00:00,2813.93,2770.79,11.86,-0.93,15.48,24,Signal Exit,33
Long,False,1.0,2025-02-04 12:00:00,2821.38,2025-02-04 16:00:00,2812.64,2795.95,-8.96,-14.16,16.33,0,Signal Exit,34
Long,False,1.0,2025-02-04 20:00:00,2815.32,2025-02-05 08:00:00,2841.48,2792.15,25.44,-0.87,16.52,24,Signal Exit,35
Long,True,0.7999999999999999,2025-02-05 00:00:00,2835.81,2025-02-05 08:00:00,2841.48,2792.15,4.36,-2.49,16.52,0,Signal Exit,36
Long,False,1.0,2025-02-05 12:00:00,2852.34,2025-02-06 04:00:00,2863.62,2843.07,10.56,-0.63,15.63,24,Signal Exit,37
Long,True,2.0,2025-02-05 16:00:00,2864.05,2025-02-06 04:00:00,2863.62,2843.07,-2.3,-10.88,15.63,24,Signal Exit,38
Long,False,1.0,2025-02-06 08:00:00,2869.41,2025-02-06 12:00:00,2869.36,2845.59,-0.27,-5.63,14.06,0,Signal Exit,39
Long,False,1.0,2025-02-06 20:00:00,2865.87,2025-02-07 00:00:00,2850.64,2833.56,-15.95,-31.91,16.78,24,Signal Exit,40
Long,False,1.0,2025-02-07 04:00:00,2853.9,2025-02-07 16:00:00,2864.11,2839.12,9.99,-0.18,15.07,0,Signal Exit,41
Long,False,1.0,2025-02-07 20:00:00,2867.65,2025-02-08 04:00:00,2860.18,2836.04,-8.19,-15.48,17.19,24,Signal Exit,42
Long,False,1.0,2025-02-10 04:00:00,2855.81,2025-02-11 04:00:00,2904.27,2876.21,47.74,-0.11,14.37,24,Signal Exit,43
Long,True,2.0,2025-02-10 08:00:00,2867.54,2025-02-11 04:00:00,2904.27,2876.21,72.02,-4.18,14.37,24,Signal Exit,44
Long,False,1.0,2025-02-11 08:00:00,2917.88,2025-02-11 16:00:00,2913.21,2881.23,-4.89,-12.54,18.21,0,Signal Exit,45
Long,False,1.0,2025-02-12 00:00:00,2904.77,2025-02-12 04:00:00,2900.19,2861.68,-4.8,-5.19,17.83,0,Signal Exit,46
Long,False,1.0,2025-02-12 16:00:00,2892.89,2025-02-12 20:00:00,2879.74,2866.39,-13.37,-13.9,17.19,0,Signal Exit,47
Long,False,1.0,2025-02-13 00:00:00,2894.73,2025-02-13 16:00:00,2914.59,2877.26,19.64,-2.88,17.56,0,Signal Exit,48
Long,True,1.7,2025-02-13 04:00:00,2897.84,2025-02-13 16:00:00,2914.59,2877.26,28.1,-4.1,17.56,0,Signal Exit,49
Long,False,1.0,2025-02-13 20:00:00,2917.96,2025-02-14 12:00:00,2924.5,2898.87,5.82,-12.23,14.08,24,Signal Exit,50
Long,True,2.0999999999999996,2025-02-14 00:00:00,2920.24,2025-02-14 12:00:00,2924.5,2898.87,8.48,-15.56,14.08,0,Signal Exit,51
Long,False,1.0,2025-02-14 16:00:00,2931.87,2025-02-14 20:00:00,2931.04,2908.65,-1.05,-2.63,14.17,0,Signal Exit,52
Long,False,1.0,2025-02-18 12:00:00,2909.05,2025-02-19 08:00:00,2933.94,2898.96,24.17,-2.0,11.72,24,Signal Exit,53
Long,True,1.0,2025-02-18 16:00:00,2911.53,2025-02-19 08:00:00,2933.94,2898.96,21.69,-4.48,11.72,24,Signal Exit,54
Long,False,1.0,2025-02-19 16:00:00,2934.21,2025-02-20 00:00:00,2925.7,2912.23,-9.23,-8.55,10.8,24,Signal Exit,55
Long,True,2.5,2025-02-19 20:00:00,2935.03,2025-02-20 00:00:00,2925.7,2915.58,-25.13,-23.43,10.8,24,Signal Exit,56
Long,False,1.0,2025-02-20 04:00:00,2931.64,2025-02-20 20:00:00,2948.89,2921.81,17.03,-0.22,11.25,0,Signal Exit,57
Long,False,1.0,2025-02-21 08:00:00,2941.59,2025-02-21 12:00:00,2931.2,2921.3,-10.61,-15.42,13.06,0,Signal Exit,58
Long,False,1.0,2025-02-22 00:00:00,2928.6,2025-02-25 00:00:00,2936.47,2920.37,6.15,-7.53,15.66,72,Signal Exit,59
