timestamp,open,high,low,close
2016-04-29,93.19,93.47,92.94,92.97
2016-05-02,93.01,93.02,92.48,92.59
2016-05-03,92.56,92.92,91.84,92.9
2016-05-04,92.93,93.32,92.79,93.19
2016-05-05,93.19,93.82,93.13,93.71
2016-05-06,93.72,93.92,93.12,93.81
2016-05-09,93.84,94.15,93.76,94.1
2016-05-10,94.08,94.29,93.97,94.2
2016-05-11,94.17,94.17,93.61,93.78
2016-05-12,93.8,94.12,93.74,94.1
2016-05-13,94.12,94.78,94.06,94.51
2016-05-16,94.52,94.63,94.34,94.5
2016-05-17,94.5,94.67,94.28,94.48
2016-05-18,94.49,95.16,94.47,95.16
2016-05-19,95.15,95.47,95.09,95.3
2016-05-20,95.26,95.4,95.1,95.32
2016-05-23,95.29,95.43,95.07,95.22
2016-05-24,95.26,95.62,95.16,95.57
2016-05-25,95.62,95.62,95.28,95.35
2016-05-26,95.37,95.37,94.89,95.12
2016-05-27,95.09,95.73,95.03,95.72
2016-05-30,95.76,95.92,95.63,95.69
2016-05-31,95.56,95.85,95.42,95.83
2016-06-01,95.75,95.87,95.3,95.34
2016-06-02,95.36,95.54,95.11,95.49
2016-06-03,95.53,95.6,93.93,93.94
2016-06-06,93.98,94.23,93.7,93.92
2016-06-07,93.93,94.04,93.71,93.82
2016-06-08,93.82,93.82,93.37,93.56
2016-06-09,93.48,94.04,93.39,93.99
2016-06-10,94.09,94.68,94.01,94.53
2016-06-14,94.44,95.1,94.35,95.0
2016-06-15,94.97,95.11,94.37,94.63
2016-06-16,94.62,95.49,94.22,94.73
2016-06-17,94.42,94.7,94.13,94.25
2016-06-20,93.73,93.79,93.51,93.64
2016-06-21,93.59,94.15,93.43,94.12
2016-06-22,94.07,94.14,93.46,93.77
2016-06-23,93.58,93.64,92.99,93.29
2016-06-24,93.72,96.67,93.69,95.61
2016-06-27,96.19,96.82,95.89,96.5
2016-06-28,96.52,96.52,95.88,96.15
2016-06-29,96.08,96.23,95.58,95.65
2016-06-30,95.67,96.43,95.48,95.91
2016-07-01,95.92,96.12,95.43,95.73
2016-07-04,95.71,95.91,95.51,95.56
2016-07-05,95.58,96.29,95.33,96.22
2016-07-06,96.27,96.58,95.99,96.08
2016-07-07,96.08,96.34,95.94,96.27
2016-07-08,96.27,96.67,95.73,96.25
2016-07-11,96.35,96.76,96.24,96.53
2016-07-12,96.52,96.61,96.02,96.5
2016-07-13,96.51,96.55,96.04,96.31
2016-07-14,96.27,96.37,95.79,96.05
2016-07-15,96.1,96.65,95.86,96.55
2016-07-18,96.54,96.67,96.41,96.52
2016-07-19,96.54,97.14,96.48,97.02
2016-07-20,97.07,97.32,96.98,97.1
2016-07-21,97.11,97.22,96.72,96.89
2016-07-22,96.83,97.54,96.81,97.37
2016-07-25,97.41,97.57,97.2,97.23
2016-07-26,97.27,97.3,96.84,97.12
2016-07-27,97.12,97.48,96.66,96.7
2016-07-28,96.51,96.7,96.2,96.64
2016-07-29,96.54,96.65,95.29,95.48
2016-08-01,95.59,95.72,95.45,95.7
2016-08-02,95.67,95.76,94.89,94.97
2016-08-03,95.04,95.5,95.03,95.44
2016-08-04,95.46,95.83,95.33,95.7
2016-08-05,95.65,96.45,95.44,96.16
2016-08-08,96.179,96.37,96.049,96.24
2016-08-09,96.25,96.42,95.96,96.01
2016-08-10,96.02,96.02,95.33,95.54
2016-08-11,95.47,95.86,95.41,95.85
2016-08-12,95.85,95.91,95.14,95.66
2016-08-15,95.65,95.72,95.38,95.53
2016-08-16,95.55,95.56,94.33,94.71
2016-08-17,94.71,95.03,94.44,94.64
2016-08-18,94.55,94.58,94.0,94.07
2016-08-19,94.14,94.55,94.14,94.41
2016-08-22,94.65,94.89,94.37,94.47
2016-08-23,94.5,94.51,94.15,94.45
2016-08-24,94.49,94.82,94.42,94.68
2016-08-25,94.72,94.74,94.5,94.64
2016-08-26,94.63,95.53,94.15,95.4
2016-08-29,95.45,95.76,95.39,95.48
2016-08-30,95.46,96.07,95.45,96.0
2016-08-31,95.93,96.2,95.85,95.96
2016-09-01,95.96,96.19,95.55,95.61
2016-09-02,95.6,95.91,95.12,95.81
2016-09-05,95.79,95.81,95.5,95.67
2016-09-06,95.72,95.8,94.7,94.75
2016-09-07,94.79,95.0,94.63,94.91
2016-09-08,94.93,95.09,94.4,94.99
2016-09-09,94.92,95.53,94.76,95.32
2016-09-12,95.21,95.41,94.88,95.08
2016-09-13,95.03,95.63,95.03,95.5
2016-09-14,95.49,95.61,95.14,95.28
2016-09-15,95.3,95.51,95.04,95.23
2016-09-16,95.2,96.07,95.17,96.06
2016-09-19,95.93,95.95,95.52,95.74
2016-09-20,95.72,95.93,95.47,95.92
2016-09-21,95.9,96.24,95.33,95.4
2016-09-22,95.41,95.44,94.9,95.26
2016-09-23,95.27,95.55,95.23,95.34
2016-09-26,95.31,95.39,94.97,95.16
2016-09-27,95.2,95.53,95.09,95.3
2016-09-28,95.33,95.61,95.23,95.27
2016-09-29,95.27,95.58,95.2,95.38
2016-09-30,95.43,95.84,95.2,95.36
2016-10-03,95.45,95.69,95.34,95.6
2016-10-04,95.62,96.34,95.61,96.05
2016-10-05,96.02,96.26,95.89,96.08
2016-10-06,96.08,96.73,96.06,96.61
2016-10-07,96.83,97.16,96.35,96.48
2016-10-10,96.49,96.92,96.44,96.86
2016-10-11,96.89,97.7,96.88,97.66
2016-10-12,97.45,98.0,97.42,97.94
2016-10-13,97.95,98.07,97.46,97.47
2016-10-14,97.57,98.05,97.47,98.04
2016-10-17,98.04,98.1,97.75,97.82
2016-10-18,97.71,97.91,97.55,97.83
2016-10-19,97.85,97.93,97.61,97.82
2016-10-20,97.82,98.35,97.61,98.24
2016-10-21,98.26,98.74,98.25,98.58
2016-10-24,98.62,98.77,98.49,98.59
2016-10-25,98.71,99.04,98.53,98.64
2016-10-26,98.66,98.76,98.26,98.54
2016-10-27,98.56,98.95,98.44,98.87
2016-10-28,98.85,98.87,98.17,98.25
2016-10-31,98.26,98.63,98.24,98.27
2016-11-01,98.34,98.42,97.57,97.71
2016-11-02,97.71,97.75,97.12,97.34
2016-11-03,97.38,97.43,97.02,97.14
2016-11-04,97.19,97.33,96.91,96.93
2016-11-07,97.31,97.83,97.2,97.7
2016-11-08,97.73,97.93,97.51,97.93
2016-11-09,98.05,98.58,95.86,98.58
2016-11-10,98.49,99.03,98.27,98.79
2016-11-11,98.8,99.08,98.49,99.0
2016-11-14,99.17,100.19,99.16,99.98
2016-11-15,99.75,100.23,99.43,100.1
2016-11-16,100.03,100.55,99.87,100.38
2016-11-17,100.23,100.96,99.94,100.91
2016-11-18,101.03,101.49,100.84,101.33
2016-11-21,101.41,101.42,100.81,100.92
2016-11-22,100.77,101.32,100.66,101.05
2016-11-23,101.05,101.91,100.91,101.68
2016-11-24,101.76,102.07,101.47,101.72
2016-11-25,101.8,101.92,101.2,101.44
2016-11-28,101.32,101.58,100.63,101.24
2016-11-29,101.21,101.64,100.89,100.97
2016-11-30,100.94,101.83,100.88,101.49
2016-12-01,101.51,101.56,100.95,100.96
2016-12-02,100.89,101.13,100.69,100.75
2016-12-05,101.35,101.55,99.82,100.12
2016-12-06,100.14,100.57,99.97,100.47
2016-12-07,100.53,100.58,100.13,100.18
2016-12-08,100.2,101.22,99.45,101.09
2016-12-09,101.1,101.72,100.99,101.6
2016-12-12,101.61,101.76,100.81,100.94
2016-12-13,100.92,101.14,100.74,101.06
2016-12-14,101.01,102.3,100.7,102.08
2016-12-15,102.44,103.52,102.11,103.1
2016-12-16,103.07,103.16,102.49,102.81
2016-12-19,102.74,103.11,102.45,103.04
2016-12-20,103.03,103.58,102.92,103.23
2016-12-21,103.24,103.33,102.7,102.94
2016-12-22,102.92,103.1,102.54,103.04
2016-12-23,103.04,103.16,102.81,102.96
2016-12-27,102.97,103.09,102.92,102.98
2016-12-28,102.92,103.53,102.81,103.2
2016-12-29,103.15,103.16,102.61,102.67
2016-12-30,102.17,102.59,101.9,102.22
2017-01-03,102.79,103.76,102.58,103.23
2017-01-04,103.3,103.37,102.34,102.51
2017-01-05,102.01,102.45,101.24,101.43
2017-01-06,101.5,102.25,101.35,102.13
2017-01-09,102.19,102.44,101.8,101.92
2017-01-10,101.78,102.04,101.44,101.92
2017-01-11,101.96,102.91,101.2,101.73
2017-01-12,101.66,101.72,100.65,101.31
2017-01-13,101.41,101.63,100.83,101.15
2017-01-16,101.36,101.68,101.26,101.48
2017-01-17,101.51,101.57,100.22,100.28
2017-01-18,100.29,101.24,100.26,101.17
2017-01-19,101.32,101.66,100.9,101.07
2017-01-20,101.16,101.44,100.63,100.78
2017-01-23,100.54,100.6,100.05,100.12
2017-01-24,99.94,100.35,99.83,100.22
2017-01-25,100.19,100.35,99.76,99.83
2017-01-26,99.73,100.68,99.71,100.5
2017-01-27,100.47,100.76,100.27,100.51
2017-01-30,100.29,100.96,100.09,100.38
2017-01-31,100.33,100.45,99.35,99.5
2017-02-01,99.54,99.98,99.43,99.63
2017-02-02,99.5,99.79,99.15,99.73
2017-02-03,99.78,100.25,99.47,99.69
2017-02-06,99.67,100.17,99.55,99.79
2017-02-07,99.91,100.64,99.86,100.28
2017-02-08,100.38,100.58,99.98,100.19
2017-02-09,100.09,100.62,100.02,100.56
2017-02-10,100.64,100.97,100.51,100.71
2017-02-13,100.92,101.06,100.52,100.95
2017-02-14,100.94,101.33,100.65,101.18
2017-02-15,101.27,101.7,100.92,100.98
2017-02-16,100.87,100.99,100.35,100.42
2017-02-17,100.45,100.91,100.39,100.87
2017-02-20,100.77,100.93,100.72,100.87
2017-02-21,100.87,101.56,100.87,101.33
2017-02-22,101.41,101.66,101.1,101.15
2017-02-23,101.31,101.38,100.8,100.94
2017-02-24,101.0,101.09,100.59,101.07
2017-02-27,101.2,101.22,100.63,101.08
2017-02-28,101.16,101.17,100.72,101.08
2017-03-01,101.43,101.93,101.17,101.69
2017-03-02,101.77,102.22,101.73,102.11
2017-03-03,102.02,102.11,101.34,101.34
2017-03-06,101.3,101.69,101.17,101.62
2017-03-07,101.68,101.86,101.47,101.73
2017-03-08,101.7,102.01,101.55,101.92
2017-03-09,101.98,102.08,101.52,101.72
2017-03-10,101.75,101.8,100.98,101.01
2017-03-13,101.07,101.21,100.81,101.21
2017-03-14,101.24,101.61,101.16,101.57
2017-03-15,101.51,101.54,100.27,100.31
2017-03-16,100.3,100.52,100.0,100.04
2017-03-17,100.01,100.23,99.92,100.12
2017-03-20,100.08,100.22,99.78,100.11
2017-03-21,100.12,100.13,99.41,99.49
2017-03-22,99.47,99.68,99.29,99.44
2017-03-23,99.54,99.61,99.39,99.51
2017-03-24,99.52,99.76,99.31,99.49
2017-03-27,99.1,99.15,98.62,98.98
2017-03-28,99.01,99.57,98.87,99.47
2017-03-29,99.5,99.91,99.45,99.73
2017-03-30,99.81,100.42,99.74,100.4
2017-03-31,100.29,100.46,100.06,100.31
2017-04-03,100.28,100.51,100.18,100.31
2017-04-04,100.28,100.55,100.25,100.38
2017-04-05,100.36,100.89,100.25,100.41
2017-04-06,100.33,100.62,100.23,100.57
2017-04-07,100.58,101.14,100.37,100.97
